school,count,circuit
Dartmouth College,1,Fifth
Dillard University,1,Fifth
Florida A&M University,1,Fifth
Florida Institute of Technology,1,Fifth
Goucher College,1,Fifth
Howard University,1,Fifth
Jones County Junior College,1,Fifth
Louisiana Tech University,1,Fifth
Mississippi College,1,Fifth
Rollins College,1,Fifth
San Antonio College,1,Fifth
Smith College,1,Fifth
St. Petersburg College,1,Fifth
Stanford University,1,Fifth
Texas Southmost College,1,Fifth
University of Chicago,1,Fifth
University of Michigan,1,Fifth
University of Nebraska,1,Fifth
University of Pennsylvania,1,Fifth
University of South Carolina,1,Fifth
University of the South,1,Fifth
Vanderbilt University,1,Fifth
Harvard University,34,First
University of Virginia,9,First
Columbia University,8,First
University of Oxford,6,First
Boston University,5,First
St. John's College,4,First
Brown University,3,First
Yale University,3,First
Bates College,2,First
Bowdoin College,2,First
College of the Holy Cross,2,First
University of Pennsylvania,2,First
Amherst College,1,First
Brandeis University,1,First
Dartmouth College,1,First
Georgetown University,1,First
Haverford College,1,First
Plymouth State University,1,First
Stanford University,1,First
Suffolk University,1,First
Tufts University,1,First
University of Puerto Rico School of Public Administration,1,First
Wellesley College,1,First
Williams College,1,First
University of Virginia,15,Fourth
University of South Carolina,11,Fourth
Boston University,8,Fourth
Harvard University,7,Fourth
New York University,6,Fourth
University of North Carolina,6,Fourth
West Virginia University,6,Fourth
University of Maryland,5,Fourth
Davidson College,4,Fourth
Duke University,4,Fourth
Wofford College,4,Fourth
Yale University,4,Fourth
Johns Hopkins University,3,Fourth
Wake Forest University,3,Fourth
Washington and Lee University,3,Fourth
Columbia University,2,Fourth
Georgetown University,2,Fourth
University of Michigan,2,Fourth
University of Pennsylvania,2,Fourth
Washington University in St. Louis,2,Fourth
Bridgewater College,1,Fourth
Cornell University,1,Fourth
Furman University,1,Fourth
Hampden-Sydney College,1,Fourth
Hampton University,1,Fourth
Kenyon College,1,Fourth
Macalester College,1,Fourth
Marquette University,1,Fourth
Marshall University,1,Fourth
Rhodes College,1,Fourth
St. Bonaventure University,1,Fourth
University of Chicago,1,Fourth
University of Notre Dame,1,Fourth
University of Scranton,1,Fourth
Vanderbilt University,1,Fourth
Vassar College,1,Fourth
Virginia State University,1,Fourth
Wesleyan University,1,Fourth
Harvard University,29,Ninth
"University of California, Los Angeles",26,Ninth
Stanford University,22,Ninth
University of Southern California,22,Ninth
University of Virginia,16,Ninth
Yale University,15,Ninth
"University of California, Berkeley",14,Ninth
University of Washington,13,Ninth
Brigham Young University,8,Ninth
Arizona State University,6,Ninth
University of Chicago,5,Ninth
University of Idaho,5,Ninth
Cornell University,4,Ninth
University of Iowa,4,Ninth
University of Michigan,4,Ninth
University of Oxford,4,Ninth
Catholic University of America,3,Ninth
Montana State University,3,Ninth
Princeton University,3,Ninth
"University of Nevada, Reno",3,Ninth
University of Oregon,3,Ninth
University of Texas,3,Ninth
Brown University,2,Ninth
Columbia University,2,Ninth
New York University,2,Ninth
Pomona College,2,Ninth
Santa Clara University,2,Ninth
University of Arizona,2,Ninth
University of Kansas,2,Ninth
University of Montana,2,Ninth
University of Notre Dame,2,Ninth
University of the Pacific,2,Ninth
Wesleyan University,2,Ninth
Willamette University,2,Ninth
Bear Valley Bible Institute,1,Ninth
Brigham Young University - Idaho,1,Ninth
Carleton College,1,Ninth
Case Western Reserve University,1,Ninth
Clark Atlanta University,1,Ninth
Georgetown University,1,Ninth
Golden Gate University,1,Ninth
Lafayette College,1,Ninth
Morehouse College,1,Ninth
North Carolina A&T State University,1,Ninth
Northwestern University,1,Ninth
Occidental College,1,Ninth
Radcliffe College,1,Ninth
San Diego State University,1,Ninth
Southwestern University,1,Ninth
St. Augustine's College,1,Ninth
St. John's University,1,Ninth
Swarthmore College,1,Ninth
Tacoma Law School,1,Ninth
Union College,1,Ninth
"University of California, Hastings College of the Law",1,Ninth
"University of California, Santa Barbara",1,Ninth
University of Hawaii,1,Ninth
University of Minnesota,1,Ninth
University of Nebraska,1,Ninth
University of New Mexico,1,Ninth
University of Pennsylvania,1,Ninth
University of Portland,1,Ninth
University of Wyoming,1,Ninth
Vassar College,1,Ninth
Virginia Military Institute,1,Ninth
Washburn University,1,Ninth
Washington and Lee University,1,Ninth
Wellesley College,1,Ninth
Whitman College,1,Ninth
Williams College,1,Ninth
Columbia University,40,Second
Harvard University,35,Second
Yale University,35,Second
Cornell University,11,Second
Fordham University,8,Second
University of Michigan,8,Second
Princeton University,7,Second
Dartmouth College,6,Second
New York University,6,Second
European University Institute,4,Second
University of Virginia,4,Second
Georgetown University,3,Second
State University of New York at Albany,3,Second
University of Cambridge,3,Second
University of Chicago,3,Second
University of Connecticut,3,Second
University of Pennsylvania,3,Second
Boston University,2,Second
New York Law School,2,Second
Seminary of the Immaculate Conception,2,Second
Syracuse University,2,Second
University of North Carolina,2,Second
University of Oxford,2,Second
University of Rochester,2,Second
Wellesley College,2,Second
Amherst College,1,Second
Brooklyn College,1,Second
Brooklyn Law School,1,Second
City College of New York,1,Second
College of William and Mary,1,Second
College of the Holy Cross,1,Second
Hamilton College,1,Second
Howard University,1,Second
"Lincoln University, Pennsylvania",1,Second
Ohio State University,1,Second
"Queens College, City University of New York",1,Second
