school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
Columbia University,,,Greenaway, Joseph,,"Greenaway, Joseph",1978.0,Harvard University,1981.0,State University of New York at Buffalo,,,,,,Third
Lycoming College,,,Vanaskie, Thomas Ignatius,,"Vanaskie, Thomas Ignatius",1975.0,Pennsylvania State University,1978.0,State University of New York at Buffalo,,,,,,Third
Rutgers University,,,Shwartz, Patty,,"Shwartz, Patty",1983.0,University of Maryland,1986.0,State University of New York at Buffalo,,,,,,Third
University of Pennsylvania,,,Krause, Cheryl Ann,,"Krause, Cheryl Ann",1989.0,Stanford University,1993.0,State University of New York at Buffalo,,,,,,Third
University of Pennsylvania,,,Restrepo, Luis Felipe,,"Restrepo, Luis Felipe",1981.0,Tulane University,1986.0,State University of New York at Buffalo,,,,,,Third
Columbia University,,,Bibas, Stephanos,,"Bibas, Stephanos",1989.0,University of Oxford,1991.0,Yale University,1994.0,,1998.0,,,Third
Grove City College,,,Porter, David James,,"Porter, David James",1988.0,George Mason University,1992.0,Yale University,,,,,,Third
University of Scranton,,,Matey, Paul Brian,,"Matey, Paul Brian",1993.0,Seton Hall University,2001.0,Yale University,,,,,,Third
University of Dayton,,,Phipps, Peter Joseph,,"Phipps, Peter Joseph",1995.0,Stanford University,1998.0,Yale University,,,,,,Third
New York University,,,Bond, Hugh Lennox,,"Bond, Hugh Lennox",1848.0,,1851.0,Yale University,,,,,,Fourth
New York University,,,Goff, Nathan,,"Goff, Nathan",1866.0,,,,,,,,,Fourth
University of South Carolina,,,Simonton, Charles Henry,,"Simonton, Charles Henry",1849.0,,1851.0,,,,,,,Fourth
,,,Pritchard, Jeter Connelly,,"Pritchard, Jeter Connelly",1889.0,,,,,,,,,Fourth
Wofford College,,,Woods, Charles Albert,,"Woods, Charles Albert",1872.0,,1873.0,,,,,,,Fourth
Wesleyan University,,,Knapp, Martin Augustine,,"Knapp, Martin Augustine",1868.0,,1869.0,,,,,,,Fourth
University of Virginia,,,Waddill, Edmund,,"Waddill, Edmund",1877.0,,,,,,,,,Fourth
University of Maryland,,,Rose, John Carter,,"Rose, John Carter",1882.0,,,,,,,,,Fourth
University of North Carolina,,,Parker, John Johnston,,"Parker, John Johnston",1907.0,University of North Carolina,1908.0,,,,,,,Fourth
University of Michigan,,,Northcott, Elliott,,"Northcott, Elliott",1891.0,University of North Carolina,,,,,,,,Fourth
Johns Hopkins University,,,Soper, Morris Ames,,"Soper, Morris Ames",1893.0,University of Maryland,1895.0,,,,,,,Fourth
University of Virginia,,,Dobie, Armistead Mason,,"Dobie, Armistead Mason",1901.0,University of Virginia,1902.0,University of Virginia,1904.0,,,,,Fourth
University of Maryland,,,Sobeloff, Simon,,"Sobeloff, Simon",1915.0,University of Virginia,,,,,,,,Fourth
Furman University,,,Haynsworth, Clement Furman,,"Haynsworth, Clement Furman",1933.0,Harvard University,1936.0,,,,,,,Fourth
West Virginia University,,,Boreman, Herbert Stephenson,,"Boreman, Herbert Stephenson",1920.0,Harvard University,,,,,,,,Fourth
University of Virginia,,,Bryan, Albert Vickers,,"Bryan, Albert Vickers",1921.0,Harvard University,,,,,,,,Fourth
Harvard University,Duke University,,Bell,,,Bell,1927.0,University of North Carolina,1930.0,,,,,,,Fourth
Johns Hopkins University,,,Winter, Harrison Lee,,"Winter, Harrison Lee",1942.0,University of Maryland,1944.0,,,,,,,Fourth
Duke University,,,Craven, James Braxton,,"Craven, James Braxton",1939.0,Harvard University,1942.0,,,,,,,Fourth
University of Scranton,,,Butzner, John Decker,,"Butzner, John Decker",1938.0,University of Virginia,1941.0,,,,,,,Fourth
University of South Carolina,,,Russell, Donald Stuart,,"Russell, Donald Stuart",1925.0,University of South Carolina,1928.0,,,,,,,Fourth
Hampden-Sydney College,,,Field, John,,"Field, John",1932.0,University of Virginia,1935.0,,,,,,,Fourth
,,,Widener, Hiram Emory University,,"Widener, Hiram Emory University",1944.0,Washington and Lee University,1953.0,,,,,,,Fourth
West Virginia University,,,Hall, Kenneth Keller,,"Hall, Kenneth Keller",1948.0,Washington and Lee University,,,,,,,,Fourth
Davidson College,,,Phillips, James Dickson,,"Phillips, James Dickson",1943.0,University of North Carolina,1948.0,,,,,,,Fourth
Johns Hopkins University,,,Murnaghan, Francis Dominic,,"Murnaghan, Francis Dominic",1941.0,Harvard University,1948.0,,,,,,,Fourth
St. Bonaventure University,,,Sprouse, James Marshall,,"Sprouse, James Marshall",1947.0,Columbia University,1949.0,,,,,,,Fourth
Davidson College,,,Ervin, Samuel James III,,"Ervin, Samuel James III",1948.0,Harvard University,1951.0,,,,,,,Fourth
University of South Carolina,,,Chapman, Robert Foster,,"Chapman, Robert Foster",1945.0,University of South Carolina,1949.0,,,,,,,Fourth
Yale University,,,Wilkinson, James Harvie III,,"Wilkinson, James Harvie III",1967.0,University of Virginia,1972.0,,,,,,,Fourth
Wake Forest University,,,Sneeden, Emory University,,"Sneeden, Emory University",1949.0,Wake Forest University,1953.0,,,,,,,Fourth
Davidson College,,,Wilkins, William Walter,,"Wilkins, William Walter",1964.0,University of South Carolina,1967.0,,,,,,,Fourth
Kenyon College,,,Niemeyer, Paul Victor,,"Niemeyer, Paul Victor",1962.0,University of Notre Dame,1966.0,,,,,,,Fourth
Wofford College,,,Hamilton, Clyde,,"Hamilton, Clyde",1956.0,Washington University in St. Louis,1961.0,,,,,,,Fourth
Washington and Lee University,,,Luttig,,,Luttig,1976.0,University of Virginia,1981.0,,,,,,,Fourth
Columbia University,,,Williams, Karen,,"Williams, Karen",1972.0,University of South Carolina,1980.0,,,,,,,Fourth
West Virginia University,,,Michael,,,Michael,1965.0,New York University,1968.0,,,,,,,Fourth
Vassar College,,,Motz, Diana Jane Gribbon,,"Motz, Diana Jane Gribbon",1965.0,University of Virginia,1968.0,,,,,,,Fourth
Davidson College,,,Traxler, William Byrd,,"Traxler, William Byrd",1970.0,University of South Carolina,1973.0,,,,,,,Fourth
West Virginia University,,,King, Robert Bruce,,"King, Robert Bruce",1961.0,West Virginia University,1968.0,,,,,,,Fourth
Virginia State University,,,Gregory, Roger,,"Gregory, Roger",1975.0,University of Michigan,1978.0,,,,,,,Fourth
Wofford College,,,Shedd, Dennis,,"Shedd, Dennis",1975.0,University of South Carolina,1978.0,Georgetown University,1980.0,,,,,Fourth
Hampton University,,,Duncan, Allyson Kay,,"Duncan, Allyson Kay",1972.0,Duke University,1975.0,Georgetown University,,,,,,Fourth
Bridgewater College,,,Agee,,,Agee,1974.0,University of Virginia,1977.0,New York University,1978.0,,,,,Fourth
University of Pennsylvania,,,Davis, Andre Maurice,,"Davis, Andre Maurice",1971.0,University of Maryland,1978.0,New York University,,,,,,Fourth
Cornell University,,,Keenan, Barbara Milano,,"Keenan, Barbara Milano",1971.0,Washington University in St. Louis,1974.0,University of Virginia,1992.0,,,,,Fourth
University of North Carolina,,,Wynn, James Andrew,,"Wynn, James Andrew",1975.0,Marquette University,1979.0,University of Virginia,1995.0,,,,,Fourth
University of Pennsylvania,,,Diaz, Albert,,"Diaz, Albert",1983.0,New York University,1988.0,Boston University,1993.0,,,,,Fourth
Wofford College,,,Floyd, Henry Franklin,,"Floyd, Henry Franklin",1970.0,University of South Carolina,1973.0,Boston University,,,,,,Fourth
Marshall University,,,Thacker, Stephanie Dawn,,"Thacker, Stephanie Dawn",1987.0,West Virginia University,1990.0,Boston University,,,,,,Fourth
Yale University,,,Harris, Pamela Ann,,"Harris, Pamela Ann",1985.0,Yale University,1990.0,Boston University,,,,,,Fourth
Vanderbilt University,,,Richardson, Julius Ness,,"Richardson, Julius Ness",1999.0,University of Chicago,2003.0,Boston University,,,,,,Fourth
Rhodes College,,,Quattlebaum,,,Quattlebaum,1986.0,University of South Carolina,1989.0,Boston University,,,,,,Fourth
Wake Forest University,,,Rushing, Allison Jones,,"Rushing, Allison Jones",2004.0,Duke University,2007.0,Boston University,,,,,,Fourth
Macalester College,,,Heytens, Toby Jay,,"Heytens, Toby Jay",1997.0,University of Virginia,2000.0,Boston University,,,,,,Fourth
,,,Pardee, Don Albert,,"Pardee, Don Albert",1859.0,University of Virginia,,,,,,,,Fifth
Centre College,,,McCormick, Andrew Phelps,,"McCormick, Andrew Phelps",1854.0,,1855.0,,,,,,,Fifth
Samford University,,,Shelby, David Davie,,"Shelby, David Davie",1870.0,,,,,,,,,Fifth
Columbia University,Washington and Lee University,Princeton University,Walker, Richard Wilde,,"Walker, Richard Wilde",1877.0,,1878.0,,,,,,,Fifth
University of Texas,,,Batts, Robert Lynn,,"Batts, Robert Lynn",1886.0,,,,,,,,,Fifth
Emory University,,,Bryan, Nathan Philemon,,"Bryan, Nathan Philemon",1893.0,Washington and Lee University,1895.0,,,,,,,Fifth
,,,King, Alexander Campbell,,"King, Alexander Campbell",1875.0,Washington and Lee University,,,,,,,,Fifth
Tulane University,,,Foster, Rufus Edward,,"Foster, Rufus Edward",1895.0,Washington and Lee University,,,,,,,,Fifth
University of Georgia,,,Sibley, Samuel Hale,,"Sibley, Samuel Hale",1892.0,University of Georgia,1893.0,,,,,,,Fifth
University of Texas,,,Hutcheson, Joseph Chappell,,"Hutcheson, Joseph Chappell",1900.0,University of Georgia,,,,,,,,Fifth
University of Texas,,,Holmes, Edwin Ruthven,,"Holmes, Edwin Ruthven",1896.0,University of Mississippi,1899.0,,,,,,,Fifth
Vanderbilt University,,,McCord, Leon Clarence,,"McCord, Leon Clarence",1900.0,University of Mississippi,,,,,,,,Fifth
Mississippi College,,,Waller, Curtis Longino,,"Waller, Curtis Longino",1908.0,Millsaps College,1910.0,,,,,,,Fifth
Louisiana State University,,,Lee, Elmo Pearce,,"Lee, Elmo Pearce",1911.0,Millsaps College,,,,,,,,Fifth
,,,Russell, Robert Lee,,"Russell, Robert Lee",1920.0,Millsaps College,,,,,,,,Fifth
Louisiana State University,,,Borah, Wayne,,"Borah, Wayne",1915.0,Millsaps College,,,,,,,,Fifth
Stetson University,,,Strum, Louie Willard,,"Strum, Louie Willard",1912.0,Millsaps College,,,,,,,,Fifth
,,,Rives, Richard Taylor,,"Rives, Richard Taylor",1914.0,Millsaps College,,,,,,,,Fifth
Cornell University,,,Tuttle, Elbert Parr,,"Tuttle, Elbert Parr",1918.0,Cornell University,1923.0,,,,,,,Fifth
University of the South,,,Cameron, Benjamin Franklin,,"Cameron, Benjamin Franklin",1911.0,Samford University,1914.0,,,,,,,Fifth
University of Denver,,,Jones, Warren Leroy,,"Jones, Warren Leroy",1924.0,Samford University,,,,,,,,Fifth
University of Nebraska,,,Brown, John Robert,,"Brown, John Robert",1930.0,University of Michigan,1932.0,,,,,,,Fifth
Washington and Lee University,,,Wisdom, John Minor,,"Wisdom, John Minor",1925.0,Tulane University,1929.0,,,,,,,Fifth
Mercer University,,,Bell, Griffin Boyette,,"Bell, Griffin Boyette",1948.0,Tulane University,,,,,,,,Fifth
Birmingham-Southern College,,,Gewin, Walter Pettus,,"Gewin, Walter Pettus",1930.0,Emory University,1932.0,University of Alabama,1935.0,,,,,Fifth
University of Texas,,,Thornberry, William Homer,,"Thornberry, William Homer",1932.0,University of Texas,1936.0,University of Alabama,,,,,,Fifth
Washington University in St. Louis,,,Coleman, James Plemon,,"Coleman, James Plemon",1939.0,University of Texas,,,,,,,,Fifth
University of Texas,,,Goldberg, Irving Loeb,,"Goldberg, Irving Loeb",1926.0,Harvard University,1929.0,,,,,,,Fifth
Loyola University New Orleans,,,Ainsworth, Robert Andrew,,"Ainsworth, Robert Andrew",1932.0,Harvard University,,,,,,,,Fifth
Auburn University,,,Godbold, John Cooper,,"Godbold, John Cooper",1940.0,Harvard University,1948.0,,,,,,,Fifth
Stetson University,,,Dyer, David William,,"Dyer, David William",1933.0,Harvard University,,,,,,,,Fifth
University of Florida,,,Simpson, John Milton Bryan,,"Simpson, John Milton Bryan",1926.0,Harvard University,,,,,,,,Fifth
University of Mississippi,,,Clayton, Claude Feemster,,"Clayton, Claude Feemster",1931.0,Harvard University,,,,,,,,Fifth
University of Georgia,,,Morgan, Lewis Render,,"Morgan, Lewis Render",1935.0,Harvard University,,,,,,,,Fifth
,University of Georgia,Duke University,Carswell, George Harrold,,"Carswell, George Harrold",1941.0,Mercer University,1948.0,,,,,,,Fifth
University of Mississippi,,,Clark, Charles,,"Clark, Charles",1948.0,Mercer University,,,,,,,,Fifth
Washington University in St. Louis,,,Ingraham, Joe McDonald,,"Ingraham, Joe McDonald",1927.0,Mercer University,,,,,,,,Fifth
St. Petersburg College,,,Roney, Paul Hitch,,"Roney, Paul Hitch",1940.0,University of Pennsylvania,1942.0,Harvard University,1948.0,University of Virginia,1984.0,,,Fifth
,,,Gee, Thomas Gibbs,,"Gee, Thomas Gibbs",1946.0,University of Texas,1953.0,Harvard University,,,,,,Fifth
Duke University,,,Tjoflat, Gerald Bard,,"Tjoflat, Gerald Bard",1957.0,University of Texas,,,,,,,,Fifth
University of South Carolina,,,Hill, James Clinkscales,,"Hill, James Clinkscales",1948.0,Emory University,1948.0,,,,,,,Fifth
Rollins College,,,Fay, Peter Thorp,,"Fay, Peter Thorp",1951.0,University of Florida,1956.0,,,,,,,Fifth
Louisiana State University,,,Rubin, Alvin Benjamin,,"Rubin, Alvin Benjamin",1941.0,Louisiana State University,1942.0,,,,,,,Fifth
University of Alabama,,,Vance, Robert Smith,,"Vance, Robert Smith",1950.0,University of Alabama,1952.0,Washington University in St. Louis,1955.0,,,,,Fifth
Goucher College,,,Kravitch, Phyllis,,"Kravitch, Phyllis",1941.0,University of Maryland,1943.0,Washington University in St. Louis,,,,,,Fifth
University of Alabama,,,Johnson, Frank Minis,,"Johnson, Frank Minis",1943.0,University of Maryland,,,,,,,,Fifth
Louisiana State University,,,Politz, Henry Anthony,,"Politz, Henry Anthony",1958.0,Louisiana State University,1959.0,,,,,,,Fifth
Texas Southmost College,,,Garza, Reynaldo Guerra,,"Garza, Reynaldo Guerra",1935.0,University of Texas,1937.0,University of Texas,1939.0,,,,,Fifth
University of Texas,,,Reavley, Thomas Morrow,,"Reavley, Thomas Morrow",1942.0,Harvard University,1948.0,University of Virginia,1983.0,,,,,Fifth
Florida A&M University,,,Hatchett, Joseph Woodrow,,"Hatchett, Joseph Woodrow",1954.0,Howard University,1959.0,University of Virginia,,,,,,Fifth
Yale University,,,Anderson, R[obert] Lanier III,,"Anderson, R[obert] Lanier III",1958.0,Harvard University,1961.0,University of Virginia,,,,,,Fifth
Mercer University,,,Henderson, Albert John,,"Henderson, Albert John",1947.0,Harvard University,,,,,,,,Fifth
Smith College,,,King, Carolyn Dineen,,"King, Carolyn Dineen",1959.0,Yale University,1962.0,,,,,,,Fifth
Washington University in St. Louis,,,Tate, Albert,,"Tate, Albert",1941.0,Yale University,1947.0,,,,,,,Fifth
Baylor University,,,Johnson, Samuel,,"Johnson, Samuel",1946.0,University of Texas,1949.0,,,,,,,Fifth
Washington and Lee University,,,Clark, Thomas Alonzo,,"Clark, Thomas Alonzo",1942.0,University of Georgia,1949.0,,,,,,,Fifth
University of Denver,,,Williams, Jerre Stockton,,"Williams, Jerre Stockton",1938.0,Columbia University,1941.0,,,,,,,Fifth
Princeton University,,,Garwood, William Lockhart,,"Garwood, William Lockhart",1952.0,University of Texas,1955.0,,,,,,,Fifth
University of Alabama,,,Higginbotham, Patrick Errol,,"Higginbotham, Patrick Errol",1960.0,University of Alabama,1961.0,,,,,,,Fifth
University of Mississippi,,,Jolly,,,Jolly,1959.0,University of Mississippi,1962.0,,,,,,,Fifth
Tulane University,,,Davis,,,Davis,1960.0,University of Mississippi,,,,,,,,Fifth
University of Texas,,,Hill, Robert Madden,,"Hill, Robert Madden",1948.0,University of Texas,1950.0,,,,,,,Fifth
Cornell University,,,Jones, Edith Hollan,,"Jones, Edith Hollan",1971.0,University of Texas,1974.0,,,,,,,Fifth
