school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
"East Tennessee State University, B.S.",,,Milburn, Herbert Theodore,,"Milburn, Herbert Theodore",1953,"University of Tennessee College of Law, J.D.",1959,"Harvard Law School, LL.M.",,,,,,Sixth
"Hamilton College, A.B.",,,Nelson, David Aldrich,,"Nelson, David Aldrich",1954,"Harvard Law School, LL.B.",1958,"Harvard Law School, LL.M.",,,,,,Sixth
"University of Michigan, A.B.",,,Guy, Ralph B., Jr.,"Guy, Ralph B., Jr.",1951,"University of Michigan Law School, J.D.",1953,"Harvard Law School, LL.M.",,,,,,Sixth
"University of Detroit Law School (now University of Detroit Mercy School of Law), LL.B.",,,Ryan, James Leo,,"Ryan, James Leo",1956,"University of Detroit Mercy, B.A.",1992,"Harvard Law School, LL.M.",,,,,,Sixth
"Harvard College, A.B.",,,Boggs, Danny Julian,,"Boggs, Danny Julian",1965,"University of Chicago Law School, J.D.",1968,"Harvard Law School, LL.M.",,,,,,Sixth
"Otterbein College, B.A.",,,Norris, Alan Eugene,,"Norris, Alan Eugene",1957,"New York University School of Law, LL.B.",1960,"University of Virginia School of Law, LL.M.",1986,,,,,Sixth
"Wayne State University, B.S.",,,Suhrheinrich, Richard Fred,,"Suhrheinrich, Richard Fred",1960,"Detroit College of Law (now Michigan State University College of Law), J.D.",1963,"University of Virginia School of Law, LL.M.",1990,,,,,Sixth
"Vanderbilt University, B.A.",,,Siler, Eugene Edward, Jr.,"Siler, Eugene Edward, Jr.",1958,"University of Virginia School of Law, LL.B.",1963,"Georgetown College (now Georgetown University) Law Center, LL.M.",1964,,,,,Sixth
"Ohio Wesleyan University, B.A.",,,Batchelder, Alice Moore,,"Batchelder, Alice Moore",1964,"University of Akron School of Law, J.D.",1971,"University of Virginia School of Law, LL.M.",1988,,,,,Sixth
"Vanderbilt University, B.A.",,,Daughtrey, Martha Craig,,"Daughtrey, Martha Craig",1964,"Vanderbilt University Law School, J.D.",1968,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Radcliffe College, A.B.",,,Moore, Karen Nelson,,"Moore, Karen Nelson",1970,"Harvard Law School, J.D.",1973,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Tufts University, B.A.",,,Cole, Ransey Guy, Jr.,"Cole, Ransey Guy, Jr.",1972,"Yale Law School, J.D.",1975,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of North Carolina, B.A.",,,Clay, Eric L.,,"Clay, Eric L.",1969,"Yale Law School, J.D.",1972,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Massachusetts Institute of Technology, S.B.",,,Gilman, Ronald Lee,,"Gilman, Ronald Lee",1964,"Harvard Law School, J.D.",1967,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Vanderbilt University, B.A.",,,Gibbons, Julia Smith,,"Gibbons, Julia Smith",1972,"University of Virginia School of Law, J.D.",1975,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Stanford University, B.A.",,,Rogers, John M.,,"Rogers, John M.",1970,"University of Michigan Law School, J.D.",1974,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Williams College, B.A.",,,Sutton, Jeffrey S.,,"Sutton, Jeffrey S.",1983,"Ohio State University College of Law (now Michael E. Moritz College of Law), LL.B.",1990,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Akron, B.A.",,,Cook, Deborah L.,,"Cook, Deborah L.",1974,"University of Akron School of Law, J.D.",1978,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Michigan, B.A.",,,McKeague, David William,,"McKeague, David William",1968,"University of Michigan Law School, J.D.",1971,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Western Michigan University, Honors College, B.A.",,,Griffin, Richard Allen,,"Griffin, Richard Allen",1973,"University of Michigan Law School, J.D.",1977,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Michigan, A.B.",,,Neilson, Susan Bieke,,"Neilson, Susan Bieke",1977,"Wayne State University Law School, J.D.",1980,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Michigan, B.A.",,,Kethledge, Raymond M.,,"Kethledge, Raymond M.",1989,"University of Michigan Law School, J.D.",1993,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Barnard College, A.B.",,,White, Helene N.,,"White, Helene N.",1975,"University of Pennsylvania Law School (now Carey Law School), J.D.",1978,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Vanderbilt University, B.A.",,,Stranch, Jane Branstetter,,"Stranch, Jane Branstetter",1975,"Vanderbilt University Law School, J.D.",1978,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Memphis State University (now University of Memphis), B.A.",,,Donald, Bernice Bouie,,"Donald, Bernice Bouie",1974,"Memphis State University (now University of Memphis), Humphreys School of Law, J.D.",1979,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Boston College, B.S.",,,Thapar, Amul Roger,,"Thapar, Amul Roger",1991,"University of California, Berkeley, School of Law, J.D.",1994,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Vanderbilt University, B.A.",,,Bush, John Kenneth,,"Bush, John Kenneth",1986,"Harvard Law School, J.D.",1989,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Northern Iowa, B.A.",,,Larsen, Joan Louise,,"Larsen, Joan Louise",1990,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1993,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Pennsylvania, B.S.",,,Nalbandian, John Baylor,,"Nalbandian, John Baylor",1991,"University of Virginia School of Law, J.D.",1994,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"University of Michigan, B.A.",,,Readler, Chad Andrew,,"Readler, Chad Andrew",1994,"University of Michigan Law School, J.D.",1997,"University of Virginia School of Law, LL.M.",,,,,,Sixth
"Miami University, Ohio, B.A.",,,Murphy, Eric Earl,,"Murphy, Eric Earl",2001,"University of Chicago Law School, J.D.",2005,"University of Virginia School of Law, LL.M.",,,,,,Sixth
Read law,,,Gresham, Walter Quintin,,"Gresham, Walter Quintin",1854,"University of Chicago Law School, J.D.",,,,,,,,Seventh
"Wabash College, A.B.",,,Woods, William Allen,,"Woods, William Allen",1859,Read law,1861,,,,,,,Seventh
Read law,,,Jenkins, James Graham,,"Jenkins, James Graham",1855,Read law,,,,,,,,Seventh
Yale College,,,Showalter, John William,,"Showalter, John William",1867,Read law,1871,,,,,,,Seventh
"Wittenberg College, A.B.",,,Grosscup, Peter Stenger,,"Grosscup, Peter Stenger",1872,"Boston University School of Law, LL.B.",1873,,,,,,,Seventh
"University of Michigan, B.A.",,,Baker, Francis Elisha,,"Baker, Francis Elisha",1882,Read law,1884,,,,,,,Seventh
Read law,,,Seaman, William Henry,,"Seaman, William Henry",1868,Read law,,,,,,,,Seventh
Old University of Chicago,"Old University of Chicago Law Department (now Northwestern Pritzker School of Law), LL.B.Read law",,Kohlsaat, Christian Cecil,,"Kohlsaat, Christian Cecil",1867,Read law,,,,,,,,Seventh
"Harvard Law School, LL.B.",,,Mack, Julian William,,"Mack, Julian William",1887,Read law,,,,,,,,Seventh
Read law,,,Alschuler, Samuel,,"Alschuler, Samuel",1881,Read law,,,,,,,,Seventh
