school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
Benton College of Law,Read law,,Matthes, Marion Charles,,"Matthes, Marion Charles",1928,"University of Iowa College of Law, J.D.",,,,,,,,Eighth
"Harvard College, A.B.",,,Blackmun, Harry Andrew,,"Blackmun, Harry Andrew",1929,"Harvard Law School, LL.B.",1932,,,,,,,Eighth
Read law,,,Ridge, Albert Alphonso,,"Ridge, Albert Alphonso",1923,"Harvard Law School, LL.B.",,,,,,,,Eighth
"University of Arkansas School of Law, LL.B.",,,Mehaffy, Pat,,"Mehaffy, Pat",1927,"Harvard Law School, LL.B.",,,,,,,,Eighth
"University of Missouri, A.B.",,,Gibson, Floyd Robert,,"Gibson, Floyd Robert",1931,"University of Missouri School of Law, LL.B.",1933,,,,,,,Eighth
"University of Iowa, B.A.",,,Lay, Donald Pomery,,"Lay, Donald Pomery",1949,"University of Iowa College of Law, J.D.",1951,,,,,,,Eighth
"University of Minnesota, B.S.L.",,,Heaney, Gerald William,,"Heaney, Gerald William",1939,"University of Minnesota Law School, LL.B.",1941,,,,,,,Eighth
"University of Minnesota, B.S.L.Eveleth Junior College (now Mesabi Range Community and Technical College), A.A.",,,Bright, Myron H.,,"Bright, Myron H.",1939,"University of Minnesota Law School, LL.B.",1947,,,,,,,Eighth
"University of Nebraska College of Law, J.D.",,,Ross, Donald Roe,,"Ross, Donald Roe",1948,"University of Minnesota Law School, LL.B.",,,,,,,,Eighth
"University of Iowa, B.A.",,,Stephenson, Roy Laverne,,"Stephenson, Roy Laverne",1938,"University of Iowa College of Law, J.D.",1940,,,,,,,Eighth
"Amherst College, A.B.",,,Webster, William Hedgcock,,"Webster, William Hedgcock",1947,"Washington University School of Law, J.D.",1949,,,,,,,Eighth
"University of Arkansas School of Law, LL.B.",,,Henley, Jesse Smith,,"Henley, Jesse Smith",1941,"Washington University School of Law, J.D.",,,,,,,,Eighth
"Lincoln University, Missouri, B.S.",,,McMillian, Theodore,,"McMillian, Theodore",1941,"St. Louis University School of Law, LL.B.",1949,,,,,,,Eighth
"Yale University, B.A.",,,Arnold, Richard Sheppard,,"Arnold, Richard Sheppard",1957,"Harvard Law School, LL.B.",1960,,,,,,,Eighth
"University of Missouri, A.B.",,,Gibson, John R.,,"Gibson, John R.",1949,"University of Missouri School of Law, J.D.",1952,,,,,,,Eighth
"Drake University, B.A.",,,Fagg, George Gardner,,"Fagg, George Gardner",1956,"Drake University Law School, J.D.",1958,,,,,,,Eighth
"Bridgewater College, B.A.",,,Bowman, Pasco Middleton II,,"Bowman, Pasco Middleton II",1955,"New York University School of Law, J.D.",1958,"University of Virginia School of Law, LL.M.",1986,,,,,Eighth
"Tabor College, B.A.",,,Wollman, Roger Leland,,"Wollman, Roger Leland",1957,"University of South Dakota School of Law, J.D.",1962,"Harvard Law School, LL.M.",1964,,,,,Eighth
"Georgetown College (now Georgetown University), School of Foreign Service, B.S.F.S.",,,Magill, Frank J.,,"Magill, Frank J.",1951,"Columbia University, M.A.",1953,"Georgetown College (now Georgetown University) Law Center, LL.B.",1955,,,,,Eighth
"University of Nebraska, B.S.",,,Beam, C[larence] Arlen,,"Beam, C[larence] Arlen",1951,"University of Nebraska College of Law, J.D.",1965,"Georgetown College (now Georgetown University) Law Center, LL.B.",,,,,,Eighth
"University of Wisconsin, B.S.",,,Loken, James B.,,"Loken, James B.",1962,"Harvard Law School, LL.B.",1965,"Georgetown College (now Georgetown University) Law Center, LL.B.",,,,,,Eighth
"Northwest Missouri State University, B.A.",,,Hansen, David Rasmussen,,"Hansen, David Rasmussen",1960,"George Washington University Law School, J.D.",1963,"Georgetown College (now Georgetown University) Law Center, LL.B.",,,,,,Eighth
"University of Arkansas, B.S.E.E.",,,Arnold, Morris Sheppard,,"Arnold, Morris Sheppard",1965,"University of Arkansas School of Law, LL.B.",1968,"Harvard Law School, LL.M.",1969,"Harvard Law School, S.J.D.",1971,,,Eighth
"University of Minnesota, B.A.",,,Murphy, Diana E.,,"Murphy, Diana E.",1954,"University of Minnesota Law School, J.D.",1974,"Harvard Law School, LL.M.",,,,,,Eighth
"St. John's University, A.B.",,,Kelly, John David,,"Kelly, John David",1956,"University of Michigan Law School, J.D.",1959,"Harvard Law School, LL.M.",,,,,,Eighth
"University of North Dakota, B.S.",,,Bye, Kermit Edward,,"Bye, Kermit Edward",1959,"University of North Dakota School of Law, J.D.",1962,"Harvard Law School, LL.M.",,,,,,Eighth
"University of Nebraska, B.A.",,,Riley, William Jay,,"Riley, William Jay",1969,"University of Nebraska College of Law, J.D.",1972,"Harvard Law School, LL.M.",,,,,,Eighth
"Loras College, B.A.",,,Melloy, Michael Joseph,,"Melloy, Michael Joseph",1970,"University of Iowa College of Law, J.D.",1974,"Harvard Law School, LL.M.",,,,,,Eighth
"University of Arkansas, B.A.",,,Smith, Lavenski R.,,"Smith, Lavenski R.",1981,"University of Arkansas School of Law, J.D.",1987,"Harvard Law School, LL.M.",,,,,,Eighth
"Princeton University, A.B.",,,Colloton, Steven M.,,"Colloton, Steven M.",1985,"Yale Law School, J.D.",1988,"Harvard Law School, LL.M.",,,,,,Eighth
"Washington University in St. Louis, B.A.",,,Gruender, Raymond W.,,"Gruender, Raymond W.",1984,"Washington University School of Law, J.D.",1987,"Washington University in St. Louis, M.B.A.",1987,,,,,Eighth
"Northwestern University, B.A.",,,Benton, William Duane,,"Benton, William Duane",1972,"Yale Law School, J.D.",1975,"Memphis State University (now University of Memphis), M.B.A.",1979,"University of Virginia School of Law, LL.M.",1994,,,Eighth
"Ouachita Baptist University, B.A.",,,Shepherd, Bobby E.,,"Shepherd, Bobby E.",1973,"University of Arkansas School of Law, J.D.",1975,"Memphis State University (now University of Memphis), M.B.A.",,,,,,Eighth
"Duke University, B.A.",,,Kelly, Jane Louise,,"Kelly, Jane Louise",1987,"Harvard Law School, J.D.",1991,"Memphis State University (now University of Memphis), M.B.A.",,,,,,Eighth
"Jamestown College, B.A.",,,Erickson, Ralph R.,,"Erickson, Ralph R.",1980,"University of North Dakota School of Law, J.D.",1984,"Memphis State University (now University of Memphis), M.B.A.",,,,,,Eighth
"University of Nebraska, B.S.",,,Grasz, Leonard Steven,,"Grasz, Leonard Steven",1984,"University of Nebraska College of Law, J.D.",1989,"Memphis State University (now University of Memphis), M.B.A.",,,,,,Eighth
"University of Kansas, B.A.",,,Stras, David Ryan,,"Stras, David Ryan",1995,"University of Kansas School of Business, M.B.A.",1999,"University of Kansas School of Law, J.D.",1999,,,,,Eighth
"Dordt College, B.A.",,,Kobes, Jonathan Allen,,"Kobes, Jonathan Allen",1996,"Harvard Law School, J.D.",2000,"University of Kansas School of Law, J.D.",,,,,,Eighth
Western Reserve College (now Case Western Reserve University)Read law,,,Sawyer, Lorenzo,,"Sawyer, Lorenzo",1846,"Harvard Law School, J.D.",,,,,,,,Ninth
Read law,,,McKenna, Joseph,,"McKenna, Joseph",1865,St. Augustine's College,1865,,,,,,,Ninth
"Williams College, A.B.",,,Gilbert, William Ball,,"Gilbert, William Ball",1868,"University of Michigan Law School, LL.B.",1872,,,,,,,Ninth
Virginia Military Institute,,,Ross, Erskine Mayo,,"Ross, Erskine Mayo",1865,Read law,1869,,,,,,,Ninth
Read law,,,Morrow, William W.,,"Morrow, William W.",1869,Read law,,,,,,,,Ninth
Read law,,,Hunt, William Henry,,"Hunt, William Henry",1880,Read law,,,,,,,,Ninth
Washington and Lee University,Read law,,Rudkin, Frank H.,,"Rudkin, Frank H.",1887,Read law,,,,,,,,Ninth
"Lafayette College, Ph.B.",,,McCamant, Wallace,,"McCamant, Wallace",1888,Read law,1890,,,,,,,Ninth
"Brown University, A.B.",,,Dietrich, Frank Sigel,,"Dietrich, Frank Sigel",1887,"Brown University, A.M.",1890,Read law,1891,,,,,Ninth
"U.S. Naval Academy, B.S.",,,Wilbur, Curtis Dwight,,"Wilbur, Curtis Dwight",1888,Read law,1890,Read law,,,,,,Ninth
Read law,,,Sawtelle, William Henry,,"Sawtelle, William Henry",1886,Read law,,,,,,,,Ninth
Read law,,,Garrecht, Francis Arthur,,"Garrecht, Francis Arthur",1894,Read law,,,,,,,,Ninth
"University of California, Berkeley, B.Litt.",,,Denman, William,,"Denman, William",1894,"Harvard Law School, LL.B.",1897,,,,,,,Ninth
Read law,,,Mathews, Clifton,,"Mathews, Clifton",1904,"Harvard Law School, LL.B.",,,,,,,,Ninth
"University of Oregon School of Law, LL.B.",,,Haney, Bert Emory,,"Haney, Bert Emory",1903,"Harvard Law School, LL.B.",,,,,,,,Ninth
Read law,,,Stephens, Albert Lee, Sr.,"Stephens, Albert Lee, Sr.",1899,"University of Southern California Law School, LL.B.",1903,,,,,,,Ninth
"University of Iowa, A.B.",,,Healy, William,,"Healy, William",1906,University of Iowa College of Law,1908,,,,,,,Ninth
Tacoma Law School,,,Bone, Homer Truett,,"Bone, Homer Truett",1911,University of Iowa College of Law,,,,,,,,Ninth
"University of Nevada, Reno",Read law,,Orr, William Edwin,,"Orr, William Edwin",1912,University of Iowa College of Law,,,,,,,,Ninth
"University of Nebraska, A.B.",,,Pope, Walter Lyndon,,"Pope, Walter Lyndon",1909,"University of Chicago Law School, J.D.",1912,,,,,,,Ninth
"Stanford University, A.B.",,,Lemmon, Dal Millington,,"Lemmon, Dal Millington",1908,"University of Chicago Law School, J.D.",,,,,,,,Ninth
"University of Arizona, A.B.",,,Chambers, Richard Harvey,,"Chambers, Richard Harvey",1929,"Stanford Law School, LL.B.",1932,,,,,,,Ninth
"Whitman College, A.B.",,,Fee, James Alger,,"Fee, James Alger",1910,"Columbia Law School, LL.B.",1914,,,,,,,Ninth
Harvard Law School,"University of California, Berkeley, A.B.",,Barnes, Stanley Nelson,,"Barnes, Stanley Nelson",1922,"University of California, Berkeley, School of Jurisprudence, J.D.",1925,,,,,,,Ninth
"University of Washington, B.A.University of Washington School of Law, LL.B.",,,Hamley, Frederick George,,"Hamley, Frederick George",1932,"University of California, Berkeley, School of Jurisprudence, J.D.",,,,,,,,Ninth
"University of California, Berkeley, B.L.",,,Hamlin, Oliver Deveta, Jr.,"Hamlin, Oliver Deveta, Jr.",1914,"University of California, Berkeley, School of Jurisprudence, J.D.",,,,,,,,Ninth
"Stanford University, A.B.",,,Jertberg, Gilbert H.,,"Jertberg, Gilbert H.",1920,"Stanford Law School, J.D.",1922,,,,,,,Ninth
"University of California, Berkeley, A.B.",,,Merrill, Charles Merton,,"Merrill, Charles Merton",1928,"Harvard Law School, LL.B.",1931,,,,,,,Ninth
"University of Washington, B.A.",,,Koelsch, Montgomery Oliver,,"Koelsch, Montgomery Oliver",1932,"University of Washington School of Law, LL.B.",1935,,,,,,,Ninth
"University of Montana School of Law, LL.B.",,,Browning, James Robert,,"Browning, James Robert",1941,"University of Washington School of Law, LL.B.",,,,,,,,Ninth
"Carleton College, B.A.",,,Duniway, Benjamin Cushing,,"Duniway, Benjamin Cushing",1928,"Stanford Law School, LL.B.",1931,"University of Oxford, B.A.",1933,"University of Oxford, M.A.",1964,,,Ninth
"University of Texas, A.B.",,,Ely, Walter Raleigh, Jr.,"Ely, Walter Raleigh, Jr.",1935,"University of Texas School of Law, LL.B.",1935,"University of Southern California Law School, LL.M.",1949,"University of Oxford, M.A.",,,,Ninth
Harvard Law School,"Pomona College, A.B.",,Carter, James Marshall,,"Carter, James Marshall",1924,"University of Southern California Law School, J.D.",1927,"University of Southern California Law School, LL.M.",,,,,,Ninth
"University of New Mexico, B.B.A.",,,Hufstedler, Shirley Ann Mount,,"Hufstedler, Shirley Ann Mount",1945,"Stanford Law School, LL.B.",1949,"University of Southern California Law School, LL.M.",,,,,,Ninth
"University of Washington, A.B.",,,Wright, Eugene Allen,,"Wright, Eugene Allen",1934,"University of Washington School of Law, J.D.",1937,"University of Southern California Law School, LL.M.",,,,,,Ninth
"Notre Dame Law School, LL.B.",,,Kilkenny, John Francis,,"Kilkenny, John Francis",1925,"University of Washington School of Law, J.D.",,,,,,,,Ninth
"Washburn College, A.B.",,,Trask, Ozell Miller,,"Trask, Ozell Miller",1931,"Harvard Law School, LL.B.",1934,,,,,,,Ninth
"University of Hawaii, B.A.",,,Choy, Herbert Young Cho,,"Choy, Herbert Young Cho",1938,"Harvard Law School, J.D.",1941,,,,,,,Ninth
"University of Oregon, B.A.",,,Goodwin, Alfred Theodore,,"Goodwin, Alfred Theodore",1947,"University of Oregon School of Law, J.D.",1951,,,,,,,Ninth
"San Diego State College, B.A.",,,Wallace, John Clifford,,"Wallace, John Clifford",1952,"University of California, Berkeley, School of Law, LL.B.",1955,,,,,,,Ninth
"Southwestern University, B.B.A.",,,Sneed, Joseph Tyree III,,"Sneed, Joseph Tyree III",1941,"University of Texas School of Law, LL.B.",1947,"Harvard Law School, S.J.D.",1958,,,,,Ninth
"Stanford University, B.A.",,,Kennedy, Anthony McLeod,,"Kennedy, Anthony McLeod",1958,"Harvard Law School, J.D.",1961,"Harvard Law School, S.J.D.",,,,,,Ninth
"University of Idaho College of Law, J.D.",,,Anderson, J. Blaine,,"Anderson, J. Blaine",1949,"Harvard Law School, J.D.",,,,,,,,Ninth
"University of Nevada, Reno, B.S.",,,Hug, Procter Ralph, Jr.,"Hug, Procter Ralph, Jr.",1953,"Stanford Law School, LL.B.",1958,,,,,,,Ninth
"University of Santa Clara (now Santa Clara University), B.S.",,,Tang, Thomas,,"Tang, Thomas",1947,"University of Arizona College of Law (now James E. Rogers College of Law), LL.B.",1950,,,,,,,Ninth
"Willamette University, B.A.",,,Skopil, Otto Richard, Jr.,"Skopil, Otto Richard, Jr.",1941,"Willamette University College of Law, LL.B.",1946,,,,,,,Ninth
"Stanford University, B.A.",,,Fletcher, Betty Binns,,"Fletcher, Betty Binns",1943,"University of Washington School of Law, LL.B.",1956,,,,,,,Ninth
"Swarthmore College, B.A.",,,Schroeder, Mary Murphy,,"Schroeder, Mary Murphy",1962,"University of Chicago Law School, J.D.",1965,,,,,,,Ninth
"Morehouse College, B.S.",,,Farris, Joseph Jerome,,"Farris, Joseph Jerome",1951,"Atlanta University (now Clark Atlanta University), M.S.W.",1955,"University of Washington School of Law, J.D.",1958,,,,,Ninth
"University of Southern California, B.A.",,,Alarcón, Arthur Lawrence,,"Alarcón, Arthur Lawrence",1949,"University of Southern California Law School, LL.B.",1951,"University of Washington School of Law, J.D.",,,,,,Ninth
"University of California, Los Angeles, B.A.",,,Pregerson, Harry,,"Pregerson, Harry",1947,"University of California, Berkeley, School of Law, LL.B.",1950,"University of Washington School of Law, J.D.",,,,,,Ninth
"University of Nevada, Reno, B.A.",,,Ferguson, Warren John,,"Ferguson, Warren John",1942,"University of Southern California Law School, LL.B.",1949,"University of Washington School of Law, J.D.",,,,,,Ninth
"University of Michigan, A.B.",,,Poole, Cecil F.,,"Poole, Cecil F.",1935,"University of Michigan Law School, LL.B.",1938,"Harvard Law School, LL.M.",1939,,,,,Ninth
"University of California, Los Angeles, A.B.",,,Nelson, Dorothy Wright,,"Nelson, Dorothy Wright",1950,"University of California, Los Angeles, School of Law, J.D.",1953,"University of Southern California Law School, LL.M.",1956,,,,,Ninth
"Yale University, B.A.",,,Canby, William Cameron, Jr.,"Canby, William Cameron, Jr.",1953,"University of Minnesota Law School, LL.B.",1956,"University of Southern California Law School, LL.M.",,,,,,Ninth
"Princeton University, B.A.",,,Norris, William Albert,,"Norris, William Albert",1951,"Stanford Law School, J.D.",1954,"University of Southern California Law School, LL.M.",,,,,,Ninth
"Cornell University, B.A.",,,Boochever, Robert,,"Boochever, Robert",1939,"Cornell Law School, J.D.",1941,"University of Southern California Law School, LL.M.",,,,,,Ninth
"Pomona College, B.A.",,,Reinhardt, Stephen Roy,,"Reinhardt, Stephen Roy",1951,"Yale Law School, LL.B.",1954,"University of Southern California Law School, LL.M.",,,,,,Ninth
"University of Virginia, B.A.",,,Beezer, Robert R.,,"Beezer, Robert R.",1951,"University of Virginia School of Law, LL.B.",1956,"University of Southern California Law School, LL.M.",,,,,,Ninth
"Stanford University, A.B.",,,Hall, Cynthia Holcomb,,"Hall, Cynthia Holcomb",1951,"Stanford Law School, LL.B.",1954,"New York University School of Law, LL.M.",1960,,,,,Ninth
"University of Southern California, B.S.",,,Wiggins, Charles Edward,,"Wiggins, Charles Edward",1953,"University of Southern California Law School, LL.B.",1956,"New York University School of Law, LL.M.",,,,,,Ninth
"University of California, Hastings College of the Law, J.D.",,,Brunetti, Melvin T.,,"Brunetti, Melvin T.",1964,"University of Southern California Law School, LL.B.",,,,,,,,Ninth
"University of California, Los Angeles, A.B.",,,Kozinski, Alex,,"Kozinski, Alex",1972,"University of California, Los Angeles, School of Law, J.D.",1975,,,,,,,Ninth
"Harvard College, B.A.",,,Noonan, John T., Jr.,"Noonan, John T., Jr.",1946,"Catholic University of America, M.A.",1949,"Catholic University of America, Ph.D.",1951,"Harvard Law School, LL.B.",1954,,,Ninth
"University of Southern California, B.S., business",,,Thompson, David R.,,"Thompson, David R.",1952,"University of Southern California Law School, LL.B.",1955,"Catholic University of America, Ph.D.",,,,,,Ninth
"St. John's University, B.A.",,,O'Scannlain, Diarmuid Fionntain,,"O'Scannlain, Diarmuid Fionntain",1957,"Harvard Law School, J.D.",1963,"University of Virginia School of Law, LL.M.",1992,,,,,Ninth
"University of Portland, A.B.",,,Leavy, Edward,,"Leavy, Edward",1950,"Notre Dame Law School, LL.B.",1953,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Wesleyan University, B.A.",,,Trott, Stephen S.,,"Trott, Stephen S.",1962,"Harvard Law School, LL.B.",1965,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"University of Southern California, B.S.",,,Fernandez, Ferdinand Francis,,"Fernandez, Ferdinand Francis",1958,"University of Southern California Law School, J.D.",1962,"Harvard Law School, LL.M.",1963,,,,,Ninth
"Vassar College, A.B.",,,Rymer, Pamela Ann,,"Rymer, Pamela Ann",1961,"Stanford Law School, LL.B.",1964,"Harvard Law School, LL.M.",,,,,,Ninth
"University of Idaho College of Law, LL.B.",,,Nelson, Thomas G.,,"Nelson, Thomas G.",1962,"Stanford Law School, LL.B.",,,,,,,,Ninth
"Wesleyan University, B.A.",,,Kleinfeld, Andrew Jay,,"Kleinfeld, Andrew Jay",1966,"Harvard Law School, J.D.",1969,,,,,,,Ninth
"Arizona State University, B.A.",,,Hawkins, Michael Daly,,"Hawkins, Michael Daly",1967,"Arizona State University College of Law (now Sandra Day O’Connor College of Law), J.D.",1970,"University of Virginia School of Law, LL.M.",1998,,,,,Ninth
"University of California, Los Angeles, B.A.",,,Tashima, Atsushi Wallace,,"Tashima, Atsushi Wallace",1958,"Harvard Law School, LL.B.",1961,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Montana State University, B.A.",,,Thomas, Sidney Runyan,,"Thomas, Sidney Runyan",1975,"University of Montana School of Law, J.D.",1978,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Arizona State University, B.A.",,,Silverman, Barry G.,,"Silverman, Barry G.",1973,"Arizona State University College of Law (now Sandra Day O’Connor College of Law), J.D.",1976,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Wellesley College, B.A.",,,Graber, Susan,,"Graber, Susan",1969,"Yale Law School, J.D.",1972,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"University of Wyoming, B.A.",,,McKeown, M. Margaret,,"McKeown, M. Margaret",1972,"Georgetown University Law Center, J.D.",1975,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"University of California, Los Angeles, A.B.",,,Wardlaw, Kim McLane,,"Wardlaw, Kim McLane",1976,"University of California, Los Angeles, School of Law, J.D.",1979,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Harvard College, B.A.",,,Fletcher, William A.,,"Fletcher, William A.",1968,"University of Oxford, B.A.",1970,"Yale Law School, J.D.",1975,,,,,Ninth
"University of California, Santa Barbara, B.A.",,,Fisher, Raymond C.,,"Fisher, Raymond C.",1961,"Stanford Law School, LL.B.",1966,"Yale Law School, J.D.",,,,,,Ninth
"University of Pennsylvania, B.S.",,,Gould, Ronald Murray,,"Gould, Ronald Murray",1968,"University of Michigan Law School, J.D.",1973,"Yale Law School, J.D.",,,,,,Ninth
"Brigham Young University, B.A.",,,Paez, Richard A.,,"Paez, Richard A.",1969,"University of California, Berkeley, School of Law, J.D.",1972,"Yale Law School, J.D.",,,,,,Ninth
"Radcliffe College, B.A.",,,Berzon, Marsha Siegel,,"Berzon, Marsha Siegel",1966,"University of California, Berkeley, School of Law, J.D.",1973,"Yale Law School, J.D.",,,,,,Ninth
"University of Santa Clara (now Santa Clara University), B.Sc.",,,Tallman, Richard C.,,"Tallman, Richard C.",1975,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1978,"Yale Law School, J.D.",,,,,,Ninth
"North Carolina A&T State University, B.S.",,,Rawlinson, Johnnie B.,,"Rawlinson, Johnnie B.",1974,"University of the Pacific, McGeorge School of Law, J.D.",1979,"Yale Law School, J.D.",,,,,,Ninth
"Princeton University, A.B.",,,Clifton, Richard R.,,"Clifton, Richard R.",1972,"Yale Law School, J.D.",1975,"Yale Law School, J.D.",,,,,,Ninth
"Brigham Young University, B.A.",,,Bybee, Jay S.,,"Bybee, Jay S.",1977,"Brigham Young University, J. Reuben Clark Law School, J.D.",1980,"Yale Law School, J.D.",,,,,,Ninth
"Stanford University, A.B.",,,Callahan, Consuelo Maria,,"Callahan, Consuelo Maria",1972,"University of the Pacific, McGeorge School of Law, J.D.",1975,"University of Virginia School of Law, LL.M.",2004,,,,,Ninth
"Stanford University, B.A.",,,Bea, Carlos T.,,"Bea, Carlos T.",1956,"Stanford Law School, J.D.",1958,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"Brigham Young University, B.A.",,,Smith, Milan Dale, Jr.,"Smith, Milan Dale, Jr.",1966,"University of Chicago Law School, J.D.",1969,"University of Virginia School of Law, LL.M.",,,,,,Ninth
"University of California, Berkeley, A.B.",,,Ikuta, Sandra Segal,,"Ikuta, Sandra Segal",1976,"Columbia University, M.S.",1978,"University of California, Los Angeles, School of Law, J.D.",1988,,,,,Ninth
"Brigham Young University, B.S.",,,Smith, N[orman] Randy,,"Smith, N[orman] Randy",1974,"Brigham Young University, J. Reuben Clark Law School, J.D.",1977,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"University of Kansas, B.A., B.S.",,,Murguia, Mary Helen,,"Murguia, Mary Helen",1982,"University of Kansas School of Law, J.D.",1985,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"University of Washington, B.A.",,,Christen, Morgan,,"Christen, Morgan",1983,"Golden Gate University School of Law, J.D.",1986,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Occidental College, A.B.",,,Nguyen, Jacqueline Hong-Ngoc,,"Nguyen, Jacqueline Hong-Ngoc",1987,"University of California, Los Angeles, School of Law, J.D.",1991,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"University of California, Berkeley, B.A.",,,Watford, Paul Jeffrey,,"Watford, Paul Jeffrey",1989,"University of California, Los Angeles, School of Law, J.D.",1994,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Princeton University, A.B.",,,Hurwitz, Andrew David,,"Hurwitz, Andrew David",1968,"Yale Law School, J.D.",1972,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"University of California, Berkeley, B.A.",,,Owens, John Byron,,"Owens, John Byron",1993,"Stanford Law School, J.D.",1996,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Stanford University, B.S.",,,Friedland, Michelle Taryn,,"Friedland, Michelle Taryn",1995,"Stanford Law School, J.D.",2000,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Union College, B.A.",,,Bennett, Mark Jeremy,,"Bennett, Mark Jeremy",1976,"Cornell Law School, J.D.",1979,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Brigham Young University, B.A.",,,Nelson, Ryan Douglas,,"Nelson, Ryan Douglas",1996,"Brigham Young University, J. Reuben Clark Law School, J.D.",1999,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Harvard University, A.B.",,,Miller, Eric David,,"Miller, Eric David",1996,"University of Chicago Law School, J.D.",1999,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Arizona State University, B.A.",,,Bade, Bridget Shelton,,"Bade, Bridget Shelton",1987,"Arizona State University College of Law (now Sandra Day O’Connor College of Law), J.D.",1990,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Harvard College, A.B.",,,Collins, Daniel Paul,,"Collins, Daniel Paul",1985,"Stanford Law School, J.D.",1988,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Cornell University, B.A.",,,Lee, Kenneth Kiyul,,"Lee, Kenneth Kiyul",1997,"Harvard Law School, J.D.",2000,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Harvard College, A.B.",,,Bress, Daniel Aaron,,"Bress, Daniel Aaron",2001,"University of Virginia School of Law, J.D.",2005,"University of California, Los Angeles, School of Law, J.D.",,,,,,Ninth
"Ricks College (now Brigham Young University -- Idaho), A.A.S.",,,Forrest, Danielle Jo,,"Forrest, Danielle Jo",1996,"University of Idaho, B.S.",2001,"University of Idaho College of Law, J.D.",2004,,,,,Ninth
"Yale University, B.A.",,,Bumatay, Patrick Joseph,,"Bumatay, Patrick Joseph",2000,"Harvard Law School, J.D.",2006,"University of Idaho College of Law, J.D.",,,,,,Ninth
"Montana State University, B.S.E.",,,VanDyke, Lawrence James Christopher,,"VanDyke, Lawrence James Christopher",1997,"Montana State University, M.C.E.M.",2000,"Bear Valley Bible Institute, B.Th.",2002,"Harvard Law School, J.D.",2005,,,Ninth
"Westminster College, Fulton, Missouri",Read law,,Lewis, Robert E.,,"Lewis, Robert E.",1880,"Montana State University, M.C.E.M.",,,,,,,,Tenth
University of Michigan,Read law,,Cotteral, John Hazelton,,"Cotteral, John Hazelton",1885,"Montana State University, M.C.E.M.",,,,,,,,Tenth
"University of Michigan Law School, J.D.",,,Phillips, Orie Leon,,"Phillips, Orie Leon",1908,"Montana State University, M.C.E.M.",,,,,,,,Tenth
"University of Chicago, Ph.B.",,,McDermott, George Thomas,,"McDermott, George Thomas",1908,"University of Chicago Law School, J.D.",1909,,,,,,,Tenth
Read law,,,Bratton, Sam Gilbert,,"Bratton, Sam Gilbert",1909,"University of Chicago Law School, J.D.",,,,,,,,Tenth
Read law,,,Williams, Robert Lee,,"Williams, Robert Lee",1891,"Southern University, B.A.",1892,"Southern University, M.A.",1894,,,,,Tenth
"University of Kansas School of Law, LL.B.",,,Huxman, Walter August,,"Huxman, Walter August",1914,"Southern University, B.A.",,,,,,,,Tenth
"University of Oklahoma College of Law, LL.B.",,,Murrah, Alfred Paul,,"Murrah, Alfred Paul",1928,"Southern University, B.A.",,,,,,,,Tenth
"University of Nebraska College of Law, LL.B.",,,Pickett, John Coleman,,"Pickett, John Coleman",1922,"Southern University, B.A.",,,,,,,,Tenth
"University of Utah, B.A.",,,Lewis, David Thomas,,"Lewis, David Thomas",1935,"University of Utah College of Law (now S.J. Quinney College of Law), J.D.",1937,,,,,,,Tenth
"University of Colorado, A.B.",,,Breitenstein, Jean Sala,,"Breitenstein, Jean Sala",1922,"University of Colorado Law School, LL.B.",1924,,,,,,,Tenth
"Washburn College School of Law, LL.B.",,,Hill, Delmas Carl,,"Hill, Delmas Carl",1929,"University of Colorado Law School, LL.B.",,,,,,,,Tenth
"Stanford University, B.A.",,,Seth, Oliver,,"Seth, Oliver",1937,"Yale Law School, LL.B.",1940,,,,,,,Tenth
"University of Wyoming College of Law, LL.B.",,,Hickey, John Joseph,,"Hickey, John Joseph",1934,"Yale Law School, LL.B.",,,,,,,,Tenth
